ID,Question,Question_Type,Predicted Answer,Correct Answer,IsCorrect
0,"Considering the camera's perspective as the front, what direction is the bird in the red bounding box facing within the picture?A. left
B. back-right
C. back
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. left,A. left,True
1,"Imagine you're the bird in the red bounding box in this image — which direction are you facing?A. left
B. back
C. right
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. right,C. right,True
2,"From the perspective of a bird in the red bounding box, where is the food located?A. back-right
B. front
C. left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front,B. front,True
3,"Taking the camera's viewpoint as the front, which way is the woman in the red bounding box in blue and black clothes facing in the image?A. back-right
B. front
C. left
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back-right,B. front,False
4,"As the woman in the red bounding box in blue and black clothes in the photo, in which direction are you facing?A. back-left
B. left
C. right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
5,"From the perspective of the woman in blue and black clothes in the red bounding box, where is the woman in pink and black clothes located?A. back-left
B. front-right
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front-right,B. front-right,True
6,"Standing at refrigerator, gazing at counter, where should table be?A. right
B. back-left
C. front
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. right,B. back-left,False
7,"From the perspective of the boy in orange clothes in the red bounding box, where is the boy in white clothes located?A. back-left
B. front-right
C. back-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front-right,D. front-left,False
8,"Which hand is the man holding the pizza with?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
9,"With the camera's viewpoint as the front, which direction is the man sitting on the horse in the red bounding box facing in the image?A. back
B. front-right
C. left
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. left,C. left,True
10,"As the man sitting on the horse in the red bounding box in the photo, in which direction are you facing?A. back
B. right
C. left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
11,"From the perspective of the man sitting on the horse in the red bounding box, where is the man in blue clothes located?A. back-right
B. front-right
C. left
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,C. left,B. front-right,False
12,"Where is the door located compared to the picture from the camera's perspective?A. back-down
B. down-right
C. down
D. above-right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. above-right,D. above-right,True
13,"Where is the toilet in relation to the window?A. above
B. down-left
C. back-down
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. right,D. right,True
14,"If you're looking at the sink, where would you find the mirror?A. above-left
B. above-right
C. down-right
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. above-right,B. above-right,True
15,"Where is the toilet located compared to the door from the camera's perspective?A. back-right
B. front
C. down-right
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. front,B. front,True
16,"With the camera's viewpoint as the front, which direction is the woman wearing the green helmet in the red bounding box facing in the image?A. back-right
B. left
C. front
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. left,B. left,True
17,"As the woman wearing the green helmet in the red bounding box in the photo, in which direction are you facing?A. right
B. back-right
C. front
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front,C. front,True
