frame,time,base_pred,fixed_pred,adapt_pred,used_alpha,entropy
0,0.0,Left,Left,Left,0.0,-0.0
5,0.08341762598161481,Left,Left,Left,0.1,-0.0
10,0.16683525196322962,Left,Left,Left,0.1,-0.0
15,0.2502528779448444,Left,Left,Left,0.1,-0.0
20,0.33367050392645925,Left,Left,Left,0.1,-0.0
25,0.41708812990807403,Left,Left,Left,0.1,-0.0
30,0.5005057558896888,Left,Left,Left,0.1,-0.0
35,0.5839233818713037,Left,Left,Left,0.1,-0.0
40,0.6673410078529185,Left,Left,Left,0.1,-0.0
45,0.7507586338345332,Left,Left,Left,0.1,-0.0
50,0.8341762598161481,Left,Left,Left,0.1,-0.0
55,0.9175938857977629,Left,Left,Left,0.1,-0.0
60,1.0010115117793776,Left,Left,Left,0.1,-0.0
65,1.0844291377609925,Left,Left,Left,0.1,-0.0
70,1.1678467637426073,Left,Left,Left,0.1,-0.0
75,1.2512643897242222,Left,Left,Left,0.1,-0.0
80,1.334682015705837,Left,Left,Left,0.1,-0.0
85,1.4180996416874518,Left,Left,Left,0.1,-0.0
90,1.5015172676690665,Left,Left,Left,0.1,-0.0
95,1.5849348936506813,Left,Left,Left,0.1,-0.0
100,1.6683525196322961,Left,Left,Left,0.1,-0.0
105,1.751770145613911,Left,Left,Left,0.1,-0.0
110,1.8351877715955258,Left,Left,Left,0.1,-0.0
115,1.9186053975771407,Left,Left,Left,0.1,-0.0
120,2.0020230235587553,Left,Left,Left,0.1,-0.0
125,2.08544064954037,Left,Left,Left,0.1,-0.0
130,2.168858275521985,Left,Left,Left,0.1,-0.0
135,2.2522759015036,Left,Left,Left,0.1,-0.0
140,2.3356935274852146,Right,Left,Right,0.1,-0.0
145,2.4191111534668295,Left,Left,Left,0.1,-0.0
150,2.5025287794484443,Right,Right,Right,0.1,-0.0
155,2.585946405430059,Right,Right,Right,0.1,-0.0
160,2.669364031411674,Left,Right,Right,0.49143484234809875,0.6931471824645996
165,2.752781657393289,Right,Right,Right,0.1,-0.0
170,2.8361992833749037,Right,Right,Right,0.1,-0.0
175,2.919616909356518,Right,Right,Right,0.1,-0.0
180,3.003034535338133,Right,Right,Right,0.1,-0.0
185,3.0864521613197478,Right,Right,Right,0.1,-0.0
190,3.1698697873013626,Right,Right,Right,0.1,-0.0
195,3.2532874132829774,Right,Right,Right,0.1,-0.0
200,3.3367050392645923,Right,Right,Right,0.1,-0.0
205,3.420122665246207,Right,Right,Right,0.1,-0.0
210,3.503540291227822,Right,Right,Right,0.1,-0.0
215,3.586957917209437,Right,Right,Right,0.1,-0.0
220,3.6703755431910516,Left,Right,Left,0.1,-0.0
225,3.7537931691726665,Left,Left,Left,0.1,-0.0
230,3.8372107951542813,Left,Left,Left,0.1,-0.0
235,3.920628421135896,Left,Left,Left,0.1,-0.0
240,4.0040460471175106,Left,Left,Left,0.1,-0.0
245,4.087463673099125,Left,Left,Left,0.1,-0.0
250,4.17088129908074,Left,Left,Left,0.1,-0.0
255,4.254298925062355,Left,Left,Left,0.1,-0.0
260,4.33771655104397,Left,Left,Left,0.1,-0.0
265,4.421134177025585,Left,Left,Left,0.1,-0.0
270,4.5045518030072,Left,Left,Left,0.1,-0.0
275,4.587969428988814,Left,Left,Left,0.1,-0.0
280,4.671387054970429,Left,Left,Left,0.1,-0.0
285,4.754804680952044,Left,Left,Left,0.1,-0.0
290,4.838222306933659,Left,Left,Left,0.1,-0.0
295,4.921639932915274,Left,Left,Left,0.1,-0.0
300,5.005057558896889,Left,Left,Left,0.1,-0.0
305,5.0884751848785035,Left,Left,Left,0.1,-0.0
310,5.171892810860118,Left,Left,Left,0.1,-0.0
315,5.255310436841733,Left,Left,Left,0.1,-0.0
320,5.338728062823348,Left,Left,Left,0.1,-0.0
325,5.422145688804963,Left,Left,Left,0.1,-0.0
330,5.505563314786578,Left,Left,Left,0.1,-0.0
335,5.5889809407681925,Left,Left,Left,0.1,-0.0
340,5.672398566749807,Left,Left,Left,0.1,-0.0
345,5.755816192731422,Right,Left,Right,0.1,-0.0
350,5.839233818713036,Left,Left,Left,0.1,-0.0
