ID,Question,Question_Type,Predicted Answer,Correct Answer,IsCorrect
0,"Imagine standing at table looking towards curtain, where is refrigerator?A. front-right
B. back-left
C. back-right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,A. front-right,C. back-right,False
1,"From the perspective of the woman in the middle of the picture who is wearing pink clothes, in which direction is the little boy?A. right
B. back
C. front-right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. left,D. left,True
2,"With the camera's viewpoint as the front, which direction is the man facing in the image?A. back-left
B. back-right
C. front-right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-right,B. back-right,True
3,"Suppose you are in the woman ’s position, what direction are you facing?A. back
B. right
C. back-right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
4,"From this boy's perspective, where is the woman in pink clothes located?A. back-left
B. front-right
C. back-right
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. front-right,D. front-left,False
5,"Where is the sofa located compared to the pillow from the camera's perspective?A. front
B. above
C. back-down
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. back-down,C. back-down,True
6,"Taking the camera lens as the front, what direction is the zebra looking toward?A. left
B. front-right
C. front
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back-right,A. left,False
7,"Can you describe the position of the table relative to the picture?A. back-down
B. right
C. back-right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. right,A. back-down,False
8,"When positioned at cabinet facing door, where can you find mirror?A. front-right
B. right
C. left
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. left,C. left,True
9,"Standing at window, gazing at table, where should door be?A. left
B. right
C. back
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. right,B. right,True
10,"Where is the sofa in relation to the cabinet?A. down-left
B. front-right
C. back-up
D. down-right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. front-right,D. down-right,False
11,"Can you describe the position of the table relative to the bag?A. down-left
B. down-right
C. back-down
D. above-right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. down-left,A. down-left,True
12,"Can you describe the position of the refrigerator relative to the counter?A. back-left
B. down
C. right
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. right,D. front,False
13,"If you stand at toilet facing cabinet, where is mirror?A. back-right
B. left
C. back-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front,D. front,True
14,"Could you tell me the location of the cabinet in comparison to the lamp?A. left
B. down
C. back
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. down,B. down,True
15,"Which hand does this baby use to hold the toothbrush?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,A. left,False
16,"Suppose you are in the boy’s position, what direction are you facing?A. right
B. front
C. back-left
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,B. front,A. right,False
17,"Where is the nightstand in relation to the pillow?A. down
B. back-up
C. right
D. front-up
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. right,C. right,True
18,"If you're looking at the desk, where would you find the picture?A. above
B. back-right
C. front-right
D. back-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. above,A. above,True
19,"From the perspective of the man wearing the white hat, where should the little girl be positioned?A. right
B. back-left
C. back
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. front-left,A. right,False
20,"Taking the camera lens as the front, what direction is the woman looking toward?A. back-left
B. front-right
C. back-right
D. left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. front-right,C. back-right,False
21,"Can you describe the position of the shelves relative to the bag?A. above-left
B. above
C. front-up
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. down,D. down,True
22,"Can you describe the position of the chair relative to the shelves?A. back-down
B. down-right
C. front
D. back-up
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. front,A. back-down,False
