ID,Question,Question_Type,Predicted Answer,Correct Answer,IsCorrect
14,"Could you tell me the location of the cabinet in comparison to the lamp?A. left
B. down
C. back
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. down,B. down,True
28,"When positioned at toilet facing window, where can you find sink?A. back-right
B. left
C. front-left
D. front-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-right,A. back-right,False
41,"Taking the camera lens as the front, what direction is the man looking toward?A. front-right
B. front
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,D. back,True
43,"As the boy in the photo, in which direction are you facing?A. left
B. back-right
C. back-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
44,"With the camera's viewpoint as the front, which direction is the girl facing in the image?A. back-left
B. back-right
C. right
D. front
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. back-left,A. back-left,True
51,"Standing at counter, gazing at sink, where should towel be?A. left
B. back-left
C. front-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. back-right,D. back-right,True
69,"Standing at window, gazing at whiteboard, where should box be?A. front-right
B. back-left
C. back
D. front-left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. front-left,D. front-left,True
76,"If you stand at window facing pillow, where is bag?A. left
B. front-left
C. front-right
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. front-right,D. back-right,False
80,"With the camera's viewpoint as the front, which direction is the man wearing a black hat facing in the image?A. right
B. left
C. front-left
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. right,A. right,True
81,"Taking the camera lens as the front, what direction is the woman in the middle of the picture who is wearing pink clothes looking toward?A. left
B. back
C. front
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. left,B. back,False
82,"If you're looking at the bag, where would you find the window?A. back-right
B. back-left
C. left
D. above
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. above,D. above,True
84,"Suppose you are in the woman’s position, what direction are you facing?A. back
B. right
C. left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
86,"From the perspective of this dog, where are the potted plant located?A. back-left
B. back-right
C. front-left
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. back-right,B. back-right,True
91,"Taking the camera lens as the front, what direction is the woman wearing glasses looking toward?A. front-left
B. right
C. front-right
D. back
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,D. back,D. back,True
117,"Considering the camera's perspective as the front, what direction is the standing woman facing within the picture?A. front-left
B. back-left
C. back-right
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-left,B. back-left,True
138,"Imagine standing at window looking towards door, where is person?A. back-left
B. front
C. back
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. front,B. front,True
139,"Can you describe the position of the table relative to the books?A. down
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. left,A. down,False
140,"Picture yourself as the man; which way are you looking in the scene?A. front
B. left
C. back
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
150,"Taking the camera lens as the front, what direction is the man wearing a hat looking toward?A. back
B. front
C. left
D. back-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C. left,C. left,True
151,"If you stand at door facing desk, where is curtain?A. front
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. left,A. front,False
152,"Where is the desk in relation to the shelves?A. down
B. back-right
C. right
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A. down,A. down,True
159,"Imagine standing at shelves looking towards desk, where is sofa?A. front-right
B. back-right
C. back-left
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. back-right,A. front-right,False
161,"With the camera's viewpoint as the front, which direction is the man wearing the red and white striped clothes facing in the image?A. back
B. right
C. left
D. front-right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,C.,A. back,False
165,"If you stand at bed facing cabinet, where is door?A. front-left
B. front-right
C. back-left
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,D. back-right,B. front-right,False
176,"If you're looking at the table, where would you find the television?A. left
B. front-down
C. above
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. above,C. above,True
181,"Could you tell me the location of the towel in comparison to the sink?A. front-down
B. front
C. back-left
D. front-up
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. back-left,C. back-left,True
182,"Can you describe the position of the sofa relative to the shelves?A. above
B. down
C. left
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,C. left,D. right,False
192,"Taking the camera's viewpoint as the front, which way is the man in white facing in the image?A. front-left
B. back-right
C. front
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,B. back-right,B. back-right,True
199,"If you stand at sofa facing table, where is bed?A. right
B. left
C. front
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,B. left,C. front,False
221,"Picture yourself as the standing man; which way are you looking in the scene?A. front
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C.,A. front,False
222,"With the camera's viewpoint as the front, which direction is the man in white clothes facing in the image?A. left
B. front
C. front-right
D. right
Reply only to the corresponding option.
Answer:",Camera perspective - Object View Orientation,A. left,A. left,True
241,"If you're looking at the pillow, where would you find the nightstand?A. back
B. down
C. front-right
D. above-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. down,C. front-right,False
256,"Where is the table located compared to the lamp from the camera's perspective?A. left
B. above-left
C. back-left
D. down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,D. down,D. down,True
282,"Standing at refrigerator, gazing at desk, where should shower curtain be?A. front
B. back
C. left
D. right
Reply only to the corresponding option.
Answer:",Person perspective - Scene Simulation Relative Direction,C. left,D. right,False
308,"Suppose you are in the bird’s position, what direction are you facing?A. left
B. back-left
C. front
D. back-right
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front,C. front,True
313,"Where is the chair located compared to the table from the camera's perspective?A. back-up
B. right
C. back-left
D. front-up
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. right,D. front-up,False
329,"Could you tell me the location of the window in comparison to the books?A. right
B. back-up
C. above-left
D. back-left
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,A.,A. right,True
336,"As the woman in the photo, in which direction are you facing?A. right
B. back
C. front-left
D. back-left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,C. front-left,C. front-left,True
347,"As the man in the photo, in which direction are you facing?A. front
B. right
C. back
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
348,"As the woman in the photo, in which direction are you facing?A. front
B. left
C. back-right
D. back
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
351,"Which hand does the man use to hold the cell phone?A. left
B. right
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,B. right,B. right,True
368,"From the perspective of this woman in grey clothes, in which direction is the man beside her?A. front
B. front-right
C. back-right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Relative Direction,D. left,D. left,True
376,"Where is the picture in relation to the chair?A. down-right
B. above-left
C. back-left
D. back-down
Reply only to the corresponding option.
Answer:",Camera perspective - Relative Direction,B. above-left,B. above-left,True
379,"Picture yourself as the man in red clothes; which way are you looking in the scene?A. right
B. back-left
C. back-right
D. front
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,D. front,D. front,True
382,"Imagine you're the man in this image — which direction are you facing?A. front
B. back-left
C. back-right
D. left
Reply only to the corresponding option.
Answer:",Person perspective - Object View Orientation,A. front,A. front,True
